CẢNG,DMU,x1,x2 (cái),x3 (m),x4 (Ha),x5 (tỷ VND),x6 (tỷ VND),y (TEU)
VIP GREENPORT (VRP),2020 -A,56,5,400,20,"188,29","602,05",650000
,2021 -A,56,5,400,20,"135,98","530,94",760000
,2022 -A,56,5,400,20,"142,23","449,96",740000
,2023 -A,56,5,400,20,"147,63","528,56",800000
,2024 -A,56,5,400,20,"226,81","646,07",872000
Công ty Cổ phần phát triển và đầu tư cảng Đình Vũ (DVP),2020 - B,28,8,425,20,"188,29","268,77",558764
,2021 - B,28,8,425,20,"206,67","289,21",601096
,2022 - B,28,8,425,20,"185,85","274,42",556304
,2023 - B,28,8,425,20,"216,18","321,63",491943
,2024 - B,28,8,425,20,"249,77","367,43",573124
Cảng Đoạn Xá (DXP),2020,24,3,210,5,"40,05","66,22",17.404
,2021,24,3,210,5,"10,41","51,30",0
,2022,24,3,210,5,"39,60","59,13",85012
,2023,24,3,210,5,"36,32","347,45",85769
,2024,24,3,210,5,"41,56","600,17",68851
Cảng Hải An (HAH),2020- C,42,0,150,15,"109,88","441,10",346.000
,2020- C,42,0,150,15,"119,87","414,34",421000
,2020- C,42,0,150,15,"194,15","646,25",419216
,2020- C,42,0,150,15,"236,20","644,22",430000
,2020- C,42,0,150,15,"350,89","867,85",605900
